Simplified	Traditional	Pinyin	Meaning	MeaningES	SentenceSimplified	SentenceMeaning	SentenceMeaningES	Synonyms	SynonymsES	DictionarySimplified	DictionaryMeaning	DictionaryMeaningES
有关	有關	yǒuguān	to have to do with; concerning	relacionado con	这本书跟历史有关。	This book is related to history.	Este libro tiene que ver con la historia.			有联系，相关	to be connected, related	estar conectado, relacionado
有名	有名	yǒumíng	famous	famoso	这是一家很有名的餐厅。	This is a very famous restaurant.	Este es un restaurante muy famoso.			名声很大，很多人知道	having a great reputation, known by many	de gran reputación, conocido por muchos
有用	有用	yǒuyòng	useful	útil	这本书对我很有用。	This book is very useful to me.	Este libro me es muy útil.			有价值，能起作用	valuable, able to serve a purpose	valioso, capaz de servir para algo
又	又	yòu	again, also	de nuevo, también	他今天又迟到了。	He was late again today.	Hoy volvió a llegar tarde.			表示重复或补充	indicates repetition or addition	indica repetición o adición
羽毛球	羽毛球	yǔmáoqiú	badminton	bádminton	我们周末打羽毛球。	We play badminton on weekends.	Jugamos al bádminton los fines de semana.			一种用球拍击打羽毛球的运动	a sport using rackets to hit a shuttlecock	deporte que usa raquetas para golpear un volante
语言	語言	yǔyán	language	idioma	汉语是一种很美的语言。	Chinese is a beautiful language.	El chino es un idioma muy bonito.			人类用来交流的符号系统	a symbol system humans use to communicate	sistema de símbolos que usan los humanos para comunicarse
雨衣	雨衣	yǔyī	raincoat	impermeable	下雨了，记得穿雨衣。	It's raining, remember to wear a raincoat.	Está lloviendo, acuérdate de ponerte el impermeable.			防雨的外衣	an outer garment for protection from rain	prenda exterior para protegerse de la lluvia
遇到	遇到	yùdào	to encounter	encontrarse con	我在路上遇到了老朋友。	I ran into an old friend on the road.	Me encontré con un viejo amigo por la calle.			意外碰见	to unexpectedly meet	encontrarse inesperadamente
遇见	遇見	yùjiàn	to meet	encontrarse con	我在公园遇见了她。	I met her in the park.	Me la encontré en el parque.			碰到，遇到	to come across, to encounter	toparse con, encontrarse con
园	園	yuán	garden	jardín	我们去公园散步。	We're going to the park for a walk.	Vamos al parque a pasear.			种植花草或供游玩的场地	a place for growing plants or for recreation	lugar para cultivar plantas o para el ocio
员	員	yuán	suffix for person with a certain job	(sufijo para profesión)	他是一名售货员。	He is a salesperson.	Es un dependiente.			表示从事某种职业的人	indicates a person engaged in a certain profession	indica a una persona que ejerce cierta profesión
愿意	願意	yuànyì	willing	dispuesto	我愿意帮助你。	I'm willing to help you.	Estoy dispuesto a ayudarte.			心里同意，乐意去做	to agree inwardly, happy to do	estar de acuerdo por dentro, contento de hacer algo
越	越	yuè	more, increasingly	cada vez más	天气越来越冷了。	The weather is getting colder and colder.	El tiempo se está poniendo cada vez más frío.			表示程度随着条件的变化而变化	indicates a degree changing as conditions change	indica un grado que cambia según las condiciones
月亮	月亮	yuèliang	moon	luna	今晚的月亮很亮。	The moon is very bright tonight.	La luna está muy brillante esta noche.			围绕地球运行的天体	a celestial body orbiting the earth	cuerpo celeste que orbita la tierra
运动会	運動會	yùndònghuì	sports meet	competición deportiva	学校下周举办运动会。	The school is holding a sports meet next week.	La escuela organiza una competición deportiva la próxima semana.			举行多项体育比赛的活动	an event holding multiple sports competitions	evento que celebra varias competiciones deportivas
运动员	運動員	yùndòngyuán	athlete	atleta	他是一名优秀的运动员。	He is an excellent athlete.	Es un atleta excelente.			从事体育运动的人	a person engaged in sports	persona que practica deporte
咱们	咱們	zánmen	we (inclusive)	nosotros (inclusivo)	咱们一起去吃饭吧。	Let's go eat together.	Vamos a comer juntos.			包括说话人和听话人在内的"我们"	"we" including both speaker and listener	"nosotros" que incluye al hablante y al oyente
脏	髒	zāng	dirty	sucio	他的衣服很脏。	His clothes are very dirty.	Su ropa está muy sucia.			有污渍，不干净	stained, not clean	manchado, no limpio
怎么办	怎麼辦	zěnme bàn	what to do	qué hacer	这可怎么办呢？	What should we do about this?	¿Qué hacemos con esto?			询问处理问题的方法	to ask how to handle a problem	preguntar cómo manejar un problema
怎样	怎樣	zěnyàng	how	cómo	你觉得这个主意怎样？	What do you think of this idea?	¿Qué te parece esta idea?			询问性质、状态或方式	asks about nature, state, or manner	pregunta sobre naturaleza, estado o manera
站	站	zhàn	to stand; station	estar de pie; estación	请站起来回答问题。	Please stand up to answer the question.	Ponte de pie para responder la pregunta.			直立不动；也指停靠点	to stand upright; also refers to a stop	permanecer de pie; también se refiere a una parada
张	張	zhāng	to open; measure word for flat objects	abrir; (clasificador de objetos planos)	桌子上有一张纸。	There's a piece of paper on the table.	Hay una hoja de papel sobre la mesa.			用于纸、床等平的物品的量词	a measure word for flat items like paper, beds, etc.	clasificador para objetos planos como papel, camas, etc.
长	長	zhǎng	to grow	crecer	这棵树长得很快。	This tree is growing very fast.	Este árbol crece muy rápido.			生物体积增大，发育	a living thing increases in size, develops	un ser vivo aumenta de tamaño, se desarrolla
着急	著急	zháojí	anxious	ansioso, nervioso	别着急，慢慢来。	Don't be anxious, take your time.	No te pongas nervioso, tómatelo con calma.			心里紧张，不安	feeling nervous, uneasy inside	sentirse nervioso, inquieto por dentro
照	照	zhào	to shine, to photograph	iluminar, fotografiar	阳光照在窗户上。	Sunlight shines on the window.	El sol brilla sobre la ventana.			光线射在物体上；也指拍照	light shining on an object; also refers to taking photos	luz que incide sobre un objeto; también se refiere a hacer fotos
照顾	照顧	zhàogù	to take care of	cuidar	她在家照顾孩子。	She takes care of the children at home.	Cuida a los niños en casa.			关心并加以帮助	to care for and help	cuidar y ayudar
照片	照片	zhàopiàn	photo	foto	这是我们的合影照片。	This is our group photo.	Esta es nuestra foto de grupo.			用照相机拍下来的图像	an image taken with a camera	imagen tomada con una cámara
照相	照相	zhàoxiàng	to take a picture	hacer una foto	我们在长城照相了。	We took pictures at the Great Wall.	Nos hicimos fotos en la Gran Muralla.			用照相机拍照	to take pictures with a camera	hacer fotos con una cámara
直到	直到	zhídào	until	hasta	他工作直到深夜。	He worked until late at night.	Trabajó hasta altas horas de la noche.			表示延续到某个时间为止	indicates continuing up to a certain time	indica que continúa hasta cierto momento
只	只	zhǐ	only, merely	solo, únicamente	我只想休息一下。	I just want to rest a bit.	Solo quiero descansar un poco.			表示限于某个范围	indicates being limited to a certain scope	indica estar limitado a cierto ámbito
纸	紙	zhǐ	paper	papel	请给我一张纸。	Please give me a piece of paper.	Dame una hoja de papel, por favor.			用于书写、包装的薄片材料	a thin material used for writing, wrapping	material fino usado para escribir, envolver
只能	只能	zhǐ néng	can only	solo se puede	我们只能等待。	We can only wait.	Solo podemos esperar.			除此之外没有别的可能	no other possibility besides this	no hay otra posibilidad además de esta
只是	只是	zhǐshì	only, merely; but	solo; pero	我只是开个玩笑。	I was just joking.	Solo estaba bromeando.			表示限定范围，或转折	indicates a limited scope, or a contrast	indica un ámbito limitado, o un contraste
只要	只要	zhǐyào	as long as	con tal de que	只要努力，就能成功。	As long as you work hard, you can succeed.	Con tal de que te esfuerces, podrás tener éxito.			表示充分条件	indicates a sufficient condition	indica una condición suficiente
只有	只有	zhǐyǒu	only if	solo si	只有努力学习才能进步。	Only by studying hard can one improve.	Solo estudiando duro se puede progresar.			表示唯一的条件	indicates the only condition	indica la única condición
中	中	zhōng	middle	medio	他站在中间。	He stands in the middle.	Está de pie en medio.			位置或时间上不偏不倚的部分	the part neither at one extreme nor the other, in position or time	la parte que no está en ningún extremo, en posición o tiempo
中间	中間	zhōngjiān	middle, between	entre, en medio	他坐在我们中间。	He sits between us.	Se sienta entre nosotros.			两端之间的位置	the position between two ends	la posición entre dos extremos
终于	終於	zhōngyú	finally	finalmente	我们终于到了。	We finally arrived.	Finalmente llegamos.			表示经过较长过程最后出现的结果	indicates a result appearing after a long process	indica un resultado que aparece tras un proceso largo
种	種	zhǒng	measure word for kinds	(clasificador de tipos)	这是一种新的方法。	This is a new kind of method.	Este es un nuevo tipo de método.			用于分类事物的量词	a measure word for classifying things	clasificador para clasificar cosas
重要	重要	zhòngyào	important	importante	这是一件很重要的事。	This is a very important matter.	Este es un asunto muy importante.			意义大，作用大	of great significance, of great effect	de gran significado, de gran efecto
周末	週末	zhōumò	weekend	fin de semana	周末我们去爬山。	We're going hiking this weekend.	Este fin de semana vamos de excursión a la montaña.			一周的最后几天	the last few days of the week	los últimos días de la semana
主要	主要	zhǔyào	main	principal	这是主要原因。	This is the main reason.	Esta es la razón principal.			最重要的，最基本的	most important, most basic	lo más importante, lo más básico
注意	注意	zhùyì	to pay attention to	prestar atención	过马路要注意安全。	Pay attention to safety when crossing the street.	Presta atención a la seguridad al cruzar la calle.			把心思集中在某方面	to focus one's mind on a certain aspect	concentrar la mente en cierto aspecto
住院	住院	zhùyuàn	to be hospitalized	estar hospitalizado	他因为生病住院了。	He was hospitalized because he was sick.	Fue hospitalizado por estar enfermo.			因病在医院接受治疗并留宿	to receive treatment and stay overnight at a hospital due to illness	recibir tratamiento y pernoctar en un hospital por enfermedad
字典	字典	zìdiǎn	dictionary	diccionario	我用字典查生字。	I use a dictionary to look up new characters.	Uso el diccionario para buscar caracteres nuevos.			解释单字的工具书	a reference book explaining individual characters	libro de consulta que explica caracteres individuales
自行车	自行車	zìxíngchē	bicycle	bicicleta	我每天骑自行车上班。	I ride a bicycle to work every day.	Voy en bicicleta al trabajo todos los días.			用脚蹬动的两轮交通工具	a two-wheeled vehicle pedaled by foot	vehículo de dos ruedas que se impulsa con los pies
子	子	zi	noun suffix	(sufijo nominal)	这是我的儿子。	This is my son.	Este es mi hijo.			加在名词后的后缀，无实际意义	a suffix added after a noun with no real meaning	sufijo que se añade tras un sustantivo, sin significado propio
总	總	zǒng	always; to sum up	siempre; en total	他总是很忙。	He is always busy.	Siempre está ocupado.			表示一直如此，或全部	indicates always being so, or the whole	indica que siempre es así, o la totalidad
总是	總是	zǒngshì	always	siempre	她总是第一个到。	She always arrives first.	Ella siempre llega la primera.			表示持续不变的情况	indicates a consistently unchanging situation	indica una situación que se mantiene constante
嘴	嘴	zuǐ	mouth	boca	请闭上嘴。	Please close your mouth.	Cierra la boca, por favor.			人或动物用来进食和说话的器官	the organ a person or animal uses to eat and speak	órgano que usa una persona o animal para comer y hablar
最好	最好	zuìhǎo	best	lo mejor	你最好早点儿睡觉。	You'd best go to sleep early.	Lo mejor es que te acuestes temprano.			表示最理想的选择	indicates the most ideal choice	indica la opción más ideal
最后	最後	zuìhòu	last, final	último	这是最后一个问题。	This is the last question.	Esta es la última pregunta.			时间或次序上排在最末的	last in time or order	el último en tiempo u orden
最近	最近	zuìjìn	recently	recientemente	我最近很忙。	I've been very busy recently.	Últimamente he estado muy ocupado.			指说话前后不久的时间	refers to a time shortly before or after speaking	se refiere a un tiempo poco antes o después de hablar
做客	做客	zuòkè	to be a guest	ser invitado	周末我要去朋友家做客。	I'm going to be a guest at my friend's house this weekend.	Este fin de semana voy a casa de un amigo de visita.			访问别人并受到招待	to visit someone and be received as a guest	visitar a alguien y ser recibido como invitado
作业	作業	zuòyè	homework	deberes	我今天有很多作业。	I have a lot of homework today.	Hoy tengo muchos deberes.			教师布置给学生完成的功课	schoolwork assigned by a teacher for students to complete	tarea escolar asignada por un profesor para que la completen los estudiantes
